UserInfoID,FirstName,LastName,Email,PasswordHash,PhoneNumber,BirthDate,UserAddress,CityID,isDeleted
1,Alberto,Lollobrigida,grazianocapecchi@example.net,b26db56982631f475a70fc886c97f99a841cbb30efb8d303847aa799f3211f57,+39 0578412244,1990-10-05,"Viale Carnera, 644 Piano 1",14,0
2,Paolo,Micheletti,vbiagiotti@example.com,fe97387f0a2c571864e70193e831defac2ccb892f2e169d1d318b74afbc3aa92,+39 3779304114,1988-02-21,"Piazza Annamaria, 39 Appartamento 6",7,0
3,Paola,Zanzi,martinoriccardi@example.org,90356f4b6793769e86377e6f5cab0e193da59999a2208fc7812a913f8cb2f397,337168587,1962-07-27,"Via Fabio, 964",32,0
4,Bianca,Papetti,vidonigianfranco@example.net,a4fefd8392176369266db5b6a7f42ae360b9ce6f8bed57641fb4c1ba35bc13b5,+39 3716454984,1967-02-24,"Piazza Angiolello, 6",2,0
5,Ciro,Foletti,annibale00@example.com,169a86263996c2690db7ea1ab5bd5ea79d8e1b535ce137d0671ab8775dbfcf32,07826561191,1976-11-01,"Canale Nordio, 42",25,0
6,Ciro,Vercelloni,gottigiancarlo@example.org,7b4d90d05e5c28d61111b7870ee73caa0172a430a3a740b4b765f57eda8c96d8,+39 073314811,1979-08-11,"Viale Cossiga, 28 Appartamento 2",28,0
7,Raffaele,Valmarana,antoniogramsci@example.com,ad43755938efbcc7696797a01e12c0f66117b1b188429e827e608b21516ed382,+39 33976848705,1971-06-29,"Piazza Prati, 30 Appartamento 74",39,0
8,Annalisa,Leone,antoniobongiorno@example.net,e5311cb7c76a47d8f8070d74d77f9fe9bf151d157c1a99c340cb5d80dbefa0c7,03758344429,1965-08-08,"Via Crespi, 6",1,0
9,Serafina,Giusti,zrinaldi@example.org,23068674ed0735811d1769cb26e99103a7da93a22df55183f03c573197e638f5,07742973191,2004-10-07,"Borgo Pareto, 13 Appartamento 4",45,0
10,Gastone,Loredan,armanidanilo@example.net,4214fe22e4f065d2d1506928f80e2907109f2561da8bf087e3d26d5818c7bbec,+39 09214218568,1981-11-05,"Viale Letizia, 965",29,0
11,Lucrezia,Marino,robertoturchi@example.org,604f28e99d65af581e963b5ad0caf39881c1840d7256511dcfe402ed6c29bde1,0884069669,1993-05-07,"Canale Argan, 52",18,0
12,Baldassare,Rubbia,dallaratonino@example.net,2718d73bb143a3acbe71db48ea1ea0faf5f135a947da69936bd572d44f9200b0,+39 361164943,1982-07-18,"Strada Ilaria, 7 Piano 8",15,0
13,Raffaele,Grassi,franco12@example.net,62aba00442679a5676166a942b9312e8ab15a252ddb8bbca36bedb9a3737ad6f,094229478,1969-03-20,"Contrada Piccio, 21 Appartamento 63",38,0
14,Cesare,Gargallo,fgiannone@example.com,2e30d8e5e750ea7565fe50800fe887151cc7328f58e77343a96c8560cc5eb494,34923347834,1982-04-14,"Borgo Bernardo, 60 Piano 9",7,0
15,Augusto,Trillini,ansaldolegnante@example.org,7d96cf8ca9cc0cdc45108e66e7b4fd0e6f046352b2fca5a9d7cb4b7fabae74dc,0322307246,1982-04-06,"Canale Golino, 70 Appartamento 95",21,0
16,Temistocle,Paganini,mazzeoannibale@example.org,917252f4dceba86d897027e3c6a6f9f3289e814729169928c071720e2b8b1c98,+39 07752670815,1965-08-28,"Incrocio Arturo, 75 Appartamento 4",2,0
17,Luciana,Crispi,napoleonepelli@example.net,45dbd8fb35f7d860f4ba72ed0f22c5f0734765aee10814535833302f073bc254,0324652918,1981-02-28,"Rotonda Niscoromni, 5 Appartamento 65",2,0
18,Milo,Paganini,dmartucci@example.net,c347184c175d3ae97d313b45a83a7e0e5304f320caf573810d9d84cc7e3c71f4,083582024,1967-06-29,"Vicolo Benigni, 28",2,0
